School Name,Suburb,Type,Sector,Geolocation,Latitude,Longitude,VET Certs With 2021 Enrolments,% Applying for Tertiary Study,Median VCE Score,VCE 40+ %
Academy of Mary Immaculate,Fitzroy,Secondary,Non-Gov,Major Cities,-37.8037,144.974,10,94,30,   6.5
Adass Israel School,Elsternwick,Combined,Non-Gov,Major Cities,-37.8839,145.008,3,0,0,0
Aitken College,Greenvale,Combined,Non-Gov,Major Cities,-37.6274,144.888,21,94.2,28,   2.7
Al Iman College,Melton South,Combined,Non-Gov,Major Cities,-37.707,144.565,0,35.7,26,   3.9
Al Siraat College,Epping,Combined,Non-Gov,Major Cities,-37.6243,145.038,2,95,30,   4.6
Albert Park College,Albert Park,Secondary,Gov,Major Cities,-37.8444,144.947,23,85.8,30,   9.0
Alexandra Secondary College,Alexandra,Secondary,Gov,Inner Regional,-37.1945,145.701,7,69.6,26,   0.8
Alia College,Hawthorn East,Secondary,Non-Gov,Major Cities,-37.8432,145.045,2,25,24,0
Alice Miller School,Macedon,Combined,Non-Gov,Inner Regional,-37.4466,144.532,2,75,35,  14.2
Alkira Secondary College,Cranbourne North,Secondary,Gov,Major Cities,-38.0733,145.311,35,81.5,29,   3.5
Alphington Grammar School,Alphington,Combined,Non-Gov,Major Cities,-37.7804,145.036,1,97.9,31,   5.0
Altona College,Altona,Combined,Gov,Major Cities,-37.8615,144.817,15,86.7,31,   7.7
Antonine College,Pascoe Vale South,Combined,Non-Gov,Major Cities,-37.7412,144.943,10,93.5,28,   5.2
Apollo Bay P-12 College,Apollo Bay,Combined,Gov,Inner Regional,-38.7535,143.661,3,69.2,33,   5.4
Aquinas College,Ringwood,Secondary,Non-Gov,Major Cities,-37.823,145.235,45,85.2,31,   7.5
Ararat Secondary College,Ararat,Secondary,Gov,Inner Regional,-37.286,142.922,14,52.6,25,   2.7
Armstrong Creek School,Armstrong Creek,Primary,Gov,Major Cities,-38.2314,144.364,0,0,0,0
Ashwood High School,Ashwood,Secondary,Gov,Major Cities,-37.8641,145.103,16,95.5,33,  10.8
Assumption College,Kilmore,Secondary,Non-Gov,Inner Regional,-37.301,144.948,35,75.2,28,   4.0
