Major Cities,Inner Regional,Outer Regional,Remote
Fitzroy,Alexandra,Bairnsdale,Cann River
Elsternwick,Macedon,Portland,Mallacoota
Greenvale,Apollo Bay,Birchip,Murrayville
Melton South,Ararat,Boort,Rainbow
Epping,Kilmore,Bright,
Albert Park,Hamilton,Casterton,
Hawthorn East,Sebastopol,Charlton,
Cranbourne North,Ballarat,Cohuna,
Alphington,Wendouree,Corryong,
Altona,Ballarat,Donald,
Pascoe Vale South,Bannockburn,Edenhope,
Ringwood,Beaufort,Goroke,
Armstrong Creek,Beechworth,Horsham,
Ashwood,Drysdale,Hopetoun,
Hawthorn East,Benalla,Horsham,
Aberfeldie,Woodend,Kerang,
Mount Waverley,Broadford,Kerang,
Bacchus Marsh,Camperdown,Lake Bolac,
Mount Martha,Castlemaine,Lavers Hill,
Balwyn North,Bendigo,Manangatang,
Langwarrin South,Sale,Mansfield,
Bayswater,Wodonga,Mildura,
Pakenham,Drouin,Bairnsdale,
Belmont,Cobden,Nhill,
Bentleigh East,Cobram,Orbost,
Berwick,Cobram,Ouyen,
St Kilda East,Colac,Portland,
Hawthorn,Kangaroo Flat,Red Cliffs,
Mooroolbark,Mount Clear,Robinvale,
Blackburn,Daylesford,St Arnaud,
Boronia,Drouin,Horsham,
Box Hill,Dingee,Swan Hill,
Braybrook,Echuca,Swan Hill,
Glen Waverley,Euroa,Swifts Creek,
Brighton,Foster,Tallangatta,
Brighton East,Sale,Timboon,
Brunswick,Bendigo,Sea Lake,
Essendon,Gisborne,Wedderburn,
Bundoora,Healesville,Wycheproof,
Canterbury,Kyabram,,
Canterbury,Traralgon,,
Kew,Leongatha,,
St Kilda East,Yarra Junction,,
Macleod West,Ballarat,,
Cheltenham,Lorne,,
Herne Hill,Newborough,,
Coburg,Maffra,,
Collingwood,Maiden Gully,,
Delahey,Maryborough,,
Bangholme,Camperdown,,
Bell Post Hill,Hamilton,,
Craigieburn,Mount Clear,,
Cranbourne,Wendouree,,
Croydon,Myrtleford,,
Dandenong,Nathalia,,
Fawkner,Rhyll,,
Malvern,Shepparton,,
Diamond Creek,Numurkah,,
Doncaster,Sunbury,,
Donvale,Rochester,,
Dromana,Rushworth,,
Preston,Rutherglen,,
Lilydale,Yarrawonga,,
Langwarrin,Sale,,
Research,Seymour,,
Eltham,Shepparton,,
Elwood,Kyabram,,
Emerald,Echuca,,
Altona North,Ballarat,,
Vermont South,Tynong,,
Epping,Stawell,,
Knoxfield,Trafalgar,,
Brighton,Traralgon,,
Fitzroy North,Yarra Junction,,
Footscray,West Wodonga,,
Burwood East,Wangaratta,,
Frankston,Warragul,,
Lovely Banks,Warrnambool,,
East Geelong,Whittlesea,,
Armstrong Creek,Ballarat East,,
Taylors Hill,Yarram,,
Caulfield East,Yarrawonga,,
Endeavour Hills,Yea,,
Glenroy,,,
Tarneit,,,
Grovedale,,,
Keysborough,,,
Keysborough,,,
Doreen,,,
Werribee,,,
Clarinda,,,
Heathmont,,,
Glen Waverley,,,
Clyde North,,,
Melbourne,,,
Mickleham,,,
Mount Waverley,,,
Tarneit,,,
Ivanhoe,,,
Ivanhoe,,,
Clayton,,,
Frankston,,,
Berwick,,,
Kew East,,,
Mentone,,,
Springvale,,,
Ormond,,,
Box Hill,,,
Greenvale,,,
Mont Albert North,,,
Glen Iris,,,
Melton,,,
Caroline Springs,,,
Lalor,,,
Lara,,,
Laverton,,,
Elsternwick,,,
Keysborough,,,
Lilydale,,,
Lilydale,,,
Toorak,,,
Watsonia,,,
Richmond,,,
Dandenong North,,,
Cranbourne,,,
Macleod,,,
Wyndham Vale,,,
Endeavour Hills,,,
Bulleen,,,
South Morang,,,
Belgrave,,,
Mulgrave,,,
Frankston,,,
Mckinnon,,,
South Yarra,,,
Melbourne,,,
South Yarra,,,
Brookfield,,,
Melton,,,
Mentone,,,
Mentone,,,
Mernda,,,
Springvale,,,
Monbulk,,,
Frankston North,,,
Mooroolbark,,,
Mordialloc,,,
Mornington,,,
Mount Evelyn,,,
Lilydale,,,
Craigieburn,,,
Burwood,,,
Altona,,,
Keysborough,,,
Newcomb,,,
Noble Park,,,
Northcote,,,
Corio,,,
Bundoora,,,
Ringwood,,,
Berwick,,,
Oakleigh,,,
Caulfield North,,,
Armstrong Creek,,,
Officer,,,
Melton West,,,
Heidelberg,,,
Box Hill,,,
Chirnside Park,,,
Melbourne,,,
Mornington,,,
Pakenham,,,
Bundoora,,,
Mordialloc,,,
Parkville,,,
Mount Eliza,,,
Broadmeadows,,,
Lalor,,,
Doreen,,,
Burwood,,,
Reservoir,,,
Ringwood,,,
North Melbourne,,,
Rosebud,,,
Niddrie,,,
Rowville,,,
Roxburgh Park,,,
Kew,,,
Glen Iris,,,
Sunbury,,,
Sandringham,,,
Northcote,,,
Scoresby,,,
Hawthorn,,,
Sassafras,,,
Somerville,,,
Caroline Springs,,,
St Albans,,,
North Melbourne,,,
Wantirna South,,,
Mentone,,,
Essendon,,,
Toorak,,,
Essendon,,,
Beaconsfield,,,
Dandenong,,,
Ferntree Gully,,,
Toorak,,,
Brighton East,,,
St Kilda,,,
Epping,,,
Cranbourne,,,
Brighton,,,
Melton South,,,
Strathmore,,,
Sunbury,,,
Sunshine West,,,
Werribee,,,
Brunswick,,,
Tarneit,,,
Templestowe Lower,,,
Newtown,,,
Hoppers Crossing,,,
Armadale,,,
Wantirna South,,,
South Morang,,,
Tarneit,,,
Thomastown,,,
Thornbury,,,
Ringwood East,,,
Mount Eliza,,,
Parkville,,,
Upwey,,,
Vermont,,,
Melbourne,,,
Viewbank,,,
Thornbury,,,
Wallan,,,
Wantirna,,,
Warrandyte,,,
Wantirna South,,,
Mulgrave,,,
Werribee,,,
Melbourne,,,
Clayton South,,,
Truganina,,,
Williamstown,,,
Langwarrin South,,,
Kew,,,
Mooroolbark,,,
St Kilda East,,,
South Melbourne,,,
